"City:    ","CARIBOU               "
"State:   ","ME"
"WBAN No: ", 14607
"Lat(N):  ", 46.87
"Long(W): ", 68.02
"Elev(m): ",   190
"Pres(mb):",   991
"Stn Type:","Primary"
"SOLAR RADIATION FOR FLAT-PLATE COLLECTORS FACING SOUTH AT A FIXED-TILT (kWh/m2/day), Percentage Uncertainty = 9"
"Tilt(deg)","       ","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Year"
"0        ","Average", 1.6, 2.6, 3.8, 4.6, 5.2, 5.7, 5.6, 4.8, 3.6, 2.3, 1.4, 1.2, 3.6
"         ","Minimum", 1.3, 1.9, 3.0, 3.5, 3.6, 4.7, 4.6, 4.0, 3.1, 1.8, 1.1, 0.9, 3.1
"         ","Maximum", 1.8, 2.9, 4.3, 5.4, 6.2, 6.4, 6.5, 5.7, 4.2, 2.7, 1.7, 1.5, 3.7
"Lat - 15 ","Average", 2.9, 3.9, 5.0, 5.1, 5.3, 5.6, 5.6, 5.2, 4.3, 3.1, 2.2, 2.2, 4.2
"         ","Minimum", 2.0, 2.7, 3.6, 3.8, 3.6, 4.4, 4.5, 4.2, 3.6, 2.3, 1.6, 1.4, 3.6
"         ","Maximum", 3.7, 4.7, 5.6, 6.2, 6.3, 6.2, 6.6, 6.2, 5.2, 3.9, 2.9, 3.1, 4.5
"Lat      ","Average", 3.3, 4.3, 5.2, 5.0, 4.9, 5.1, 5.2, 4.9, 4.3, 3.3, 2.4, 2.5, 4.2
"         ","Minimum", 2.3, 2.9, 3.7, 3.6, 3.4, 4.1, 4.2, 4.0, 3.5, 2.4, 1.8, 1.6, 3.6
"         ","Maximum", 4.3, 5.2, 5.9, 6.2, 5.9, 5.7, 6.1, 6.0, 5.2, 4.1, 3.2, 3.6, 4.5
"Lat + 15 ","Average", 3.5, 4.5, 5.2, 4.7, 4.4, 4.5, 4.6, 4.5, 4.1, 3.3, 2.5, 2.7, 4.0
"         ","Minimum", 2.4, 3.0, 3.6, 3.3, 3.0, 3.5, 3.6, 3.6, 3.3, 2.3, 1.8, 1.6, 3.4
